Age,M,F
   0- 4,2710581,2586167
   5- 9,2859805,2725856
  10-14,3031943,2889092
  15-19,3109229,2954128
  20-24,3266240,3160193
  25-29,3691723,3601978
  30-34,4221011,4120486
  35-39,4950122,4836227
  40-44,4400375,4341490
  45-49,4027969,4005147
  50-54,3809576,3834923
  55-59,4287489,4376245
  60-64,4920468,5116781
  65-69,3921774,4288399
  70-74,3225503,3737799
  75-79,2582940,3358073
  80-84,1692584,2643680
  85-89,744222,1688366
  90-94,241799,779908
  95-99,55739,241017
100+,5851,38031
