Age,M,F
   0- 4,10094000,9642000
   5- 9,10328000,9884000
  10-14,10650000,10177000
  15-19,10545000,10304000
  20-24,10716000,10538000
  25-29,11792000,11485000
  30-34,10935000,10997000
  35-39,10629000,10814000
  40-44,9628000,9956000
  45-49,9993000,10351000
  50-54,9930000,10425000
  55-59,10046000,11117000
  60-64,9819000,10773000
  65-69,8198000,9158000
  70-74,6691000,7440000
  75-79,4233000,5124000
  80-84,2519000,3532000
  85+,2282000,3611000
